id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2537980754,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-industrial-bairros-sao-jose-dos-campos-com-garagem-80m2-aluguel-RS1500-id-2537980754/,"Apartamento com 3 Quartos para Aluguel, 80m²","Vila Industrial, São José dos Campos - SP",80,3 Quartos,2 Banheiros,1 Vaga,"Varanda
Aceita animais
Área de serviço
Cozinha grande
Sala grande
...",R$ 1.500 /mês,,São José dos Campos,2021-10-30 14:35
2535646638,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-84m2-venda-RS660000-id-2535646638/,Apartamento com 2 Quartos para Venda/Aluguel 84m²,"Jardim Aquarius, São José dos Campos - SP",84,2 Quartos,2 Banheiros,1 Vaga,"Cozinha
Varanda gourmet
Salão de jogos
Área de serviço","R$ 2.900 /mês
R$ 660.000",R$ 400,São José dos Campos,2021-10-30 14:35
2537407325,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-augusta-bairros-sao-jose-dos-campos-com-garagem-80m2-aluguel-RS1700-id-2537407325/,"Apartamento com 2 Quartos para Aluguel, 80m²","Jardim Augusta, São José dos Campos - SP",80,2 Quartos,2 Banheiros,1 Vaga,,R$ 1.700 /mês,R$ 585,São José dos Campos,2021-10-30 14:35
2538923608,https://www.vivareal.com.br/imovel/apartamento-2-quartos-monte-castelo-bairros-sao-jose-dos-campos-44m2-aluguel-RS1200-id-2538923608/,"Apartamento com 2 Quartos para Aluguel, 44m²","Avenida Presidente Juscelino Kubitschek - Monte Castelo, São José dos Campos - SP",44,2 Quartos,1 Banheiro,-- Vaga,"Mobiliado
Área de serviço
Quadra poliesportiva
Cozinha
Interfone
...",R$ 1.200 /mês,R$ 260,São José dos Campos,2021-10-30 14:35
2538367390,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-93m2-aluguel-RS2200-id-2538367390/,"Apartamento com 3 Quartos para Aluguel, 93m²","Jardim Aquarius, São José dos Campos - SP",93,3 Quartos,2 Banheiros,2 Vagas,"Cozinha
Salão de jogos
Área de serviço",R$ 2.200 /mês,R$ 697,São José dos Campos,2021-10-30 14:35
2536198251,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-156m2-aluguel-RS4800-id-2536198251/,"Apartamento com 3 Quartos para Aluguel, 156m²","Jardim Aquarius, São José dos Campos - SP",156,3 Quartos,1 Banheiro,3 Vagas,"Piscina
Churrasqueira
Elevador
Varanda
Ar-condicionado
...",R$ 4.800 /mês,R$ 811,São José dos Campos,2021-10-30 14:35
2535236022,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-88m2-aluguel-RS2300-id-2535236022/,"Apartamento com 2 Quartos para Aluguel, 88m²","Rua do Aruana, 0 - Jardim Aquarius, São José dos Campos - SP",88,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Mobiliado
Elevador
Academia
Ar-condicionado
...",R$ 2.300 /mês,R$ 880,São José dos Campos,2021-10-30 14:35
2533113503,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-49m2-venda-RS175000-id-2533113503/,Apartamento com 2 Quartos para Venda/Aluguel 49m²,"Bosque dos Eucaliptos, São José dos Campos - SP",49,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Área de serviço
Quadra poliesportiva
Cozinha
...","R$ 800 /mês
R$ 175.000",R$ 383,São José dos Campos,2021-10-30 14:35
2539337852,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-78m2-venda-RS320000-id-2539337852/,Apartamento com 3 Quartos para Venda/Aluguel 78m²,"Jardim São Dimas, São José dos Campos - SP",78,3 Quartos,2 Banheiros,2 Vagas,"Elevador
Armário embutido","R$ 1.600 /mês
R$ 320.000",R$ 380,São José dos Campos,2021-10-30 14:35
2536408948,https://www.vivareal.com.br/imovel/apartamento-3-quartos-palmeiras-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-85m2-aluguel-RS2500-id-2536408948/,"Apartamento com 3 Quartos para Aluguel, 85m²","Rua Raimundo Barbosa Nogueira - Palmeiras de São José, São José dos Campos - SP",85,3 Quartos,2 Banheiros,2 Vagas,"Piscina
Condomínio fechado
Playground
Salão de festas
Quadra poliesportiva
...",R$ 2.500 /mês,R$ 380,São José dos Campos,2021-10-30 14:35
2533305776,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-90m2-aluguel-RS3500-id-2533305776/,"Apartamento com 3 Quartos para Aluguel, 90m²","Jardim Aquarius, São José dos Campos - SP",90,3 Quartos,1 Banheiro,1 Vaga,"Churrasqueira
Condomínio fechado
Varanda gourmet
Piscina
Quadra poliesportiva",R$ 3.500 /mês,R$ 390,São José dos Campos,2021-10-30 14:35
