,id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at,list_add,list_add_1,list_add_2,list_add_3,list_add_4,street,Neiborhood,pr_add_1,pr_add_2,rent,bath_add,bath_num,garage_num,rooms_num
2555,2538977984,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-56m2-aluguel-RS850-id-2538977984/,"Apartamento com 2 Quartos para Aluguel, 56m²","Jardim América, São José dos Campos - SP",56,2 Quartos,1 Banheiro,1 Vaga,"Churrasqueira
Interfone
Piscina
Quadra poliesportiva
Quintal",R$ 850 /mês,R$ 388,São José dos Campos,2021-10-30 14:45,"['Jardim América', ' São José dos Campos - SP']",Jardim América, SP,"Jardim América, São José dos Campos ", SP,"Jardim América, São José dos Campos ",Jardim América, 850 /mês,R$ 850 , 850 ,1 ,1 ,1 ,2 
2556,2539206185,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-35m2-aluguel-RS950-id-2539206185/,"Apartamento com Quarto para Aluguel, 35m²","Rua Teopompo de Vasconcelos - Vila Adyana, São José dos Campos - SP",35,1 Quarto,1 Banheiro,1 Vaga,Segurança 24h,R$ 950 /mês,R$ 422,São José dos Campos,2021-10-30 14:45,"['Rua Teopompo de Vasconcelos - Vila Adyana', ' São José dos Campos - SP']",Rua Teopompo de Vasconcelos - Vila Adyana," Vila Adyana, São José dos Campos ",Rua Teopompo de Vasconcelos , Vila Adyana,Rua Teopompo de Vasconcelos , Vila Adyana, 950 /mês,R$ 950 , 950 ,1 ,1 ,1 ,1 
2557,2528006673,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-paulista-bairros-sao-jose-dos-campos-70m2-aluguel-RS900-id-2528006673/,"Apartamento com 2 Quartos para Aluguel, 70m²","Jardim Paulista, São José dos Campos - SP",70,2 Quartos,1 Banheiro,-- Vaga,"Cozinha
Área de serviço",R$ 900 /mês,R$ 270,São José dos Campos,2021-10-30 14:45,"['Jardim Paulista', ' São José dos Campos - SP']",Jardim Paulista, SP,"Jardim Paulista, São José dos Campos ", SP,"Jardim Paulista, São José dos Campos ",Jardim Paulista, 900 /mês,R$ 900 , 900 ,1 ,1 ,-- ,2 
2558,2524936090,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santana-bairros-sao-jose-dos-campos-com-garagem-56m2-aluguel-RS1300-id-2524936090/,"Apartamento com 2 Quartos para Aluguel, 56m²","Santana, São José dos Campos - SP",56,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.300 /mês,,São José dos Campos,2021-10-30 14:45,"['Santana', ' São José dos Campos - SP']",Santana, SP,"Santana, São José dos Campos ", SP,"Santana, São José dos Campos ",Santana, 1.300 /mês,R$ 1.300 , 1.300 ,1 ,1 ,1 ,2 
2559,2537967479,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-68m2-aluguel-RS2000-id-2537967479/,"Apartamento com 2 Quartos para Aluguel, 68m²","Rua Santa Elza - Vila Adyana, São José dos Campos - SP",68,2 Quartos,2 Banheiros,1 Vaga,,R$ 2.000 /mês,R$ 500,São José dos Campos,2021-10-30 14:45,"['Rua Santa Elza - Vila Adyana', ' São José dos Campos - SP']",Rua Santa Elza - Vila Adyana," Vila Adyana, São José dos Campos ",Rua Santa Elza , Vila Adyana,Rua Santa Elza , Vila Adyana, 2.000 /mês,R$ 2.000 , 2.000 ,2 ,2 ,1 ,2 
2560,2538872906,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-62m2-aluguel-RS2000-id-2538872906/,"Apartamento com 2 Quartos para Aluguel, 62m²","Rua Polar - Jardim Satélite, São José dos Campos - SP",62,2 Quartos,2 Banheiros,2 Vagas,,R$ 2.000 /mês,R$ 449,São José dos Campos,2021-10-30 14:45,"['Rua Polar - Jardim Satélite', ' São José dos Campos - SP']",Rua Polar - Jardim Satélite," Jardim Satélite, São José dos Campos ",Rua Polar , Jardim Satélite,Rua Polar , Jardim Satélite, 2.000 /mês,R$ 2.000 , 2.000 ,2 ,2 ,2 ,2 
2561,2535859431,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-48m2-aluguel-RS1200-id-2535859431/,"Apartamento com 2 Quartos para Aluguel, 48m²","Bosque dos Eucaliptos, São José dos Campos - SP",48,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.200 /mês,R$ 196,São José dos Campos,2021-10-30 14:45,"['Bosque dos Eucaliptos', ' São José dos Campos - SP']",Bosque dos Eucaliptos, SP,"Bosque dos Eucaliptos, São José dos Campos ", SP,"Bosque dos Eucaliptos, São José dos Campos ",Bosque dos Eucaliptos, 1.200 /mês,R$ 1.200 , 1.200 ,1 ,1 ,1 ,2 
2562,2538746694,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-194m2-aluguel-RS10000-id-2538746694/,"Apartamento com 3 Quartos para Aluguel, 194m²","Parque Residencial Aquarius, São José dos Campos - SP",194,3 Quartos,5 Banheiros,4 Vagas,"Piscina
Churrasqueira
Elevador
Academia
Varanda gourmet
...",R$ 10.000 /mês,R$ 1.150,São José dos Campos,2021-10-30 14:45,"['Parque Residencial Aquarius', ' São José dos Campos - SP']",Parque Residencial Aquarius, SP,"Parque Residencial Aquarius, São José dos Campos ", SP,"Parque Residencial Aquarius, São José dos Campos ",Parque Residencial Aquarius, 10.000 /mês,R$ 10.000 , 10.000 ,5 ,5 ,4 ,3 
2563,2539383784,https://www.vivareal.com.br/imovel/apartamento-2-quartos-urbanova-vi-bairros-sao-jose-dos-campos-com-garagem-52m2-aluguel-RS1500-id-2539383784/,"Apartamento com 2 Quartos para Aluguel, 52m²","Urbanova VI, São José dos Campos - SP",52,2 Quartos,1 Banheiro,2 Vagas,,R$ 1.500 /mês,R$ 355,São José dos Campos,2021-10-30 14:45,"['Urbanova VI', ' São José dos Campos - SP']",Urbanova VI, SP,"Urbanova VI, São José dos Campos ", SP,"Urbanova VI, São José dos Campos ",Urbanova VI, 1.500 /mês,R$ 1.500 , 1.500 ,1 ,1 ,2 ,2 
2564,2428739619,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-103m2-venda-RS700000-id-2428739619/,Apartamento com 3 Quartos para Venda/Aluguel 103m²,"Jardim Aquarius, São José dos Campos - SP",103,3 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Varanda
Varanda gourmet
...","R$ 3.100 /mês
R$ 700.000",R$ 450,São José dos Campos,2021-10-30 14:46,"['Jardim Aquarius', ' São José dos Campos - SP']",Jardim Aquarius, SP,"Jardim Aquarius, São José dos Campos ", SP,"Jardim Aquarius, São José dos Campos ",Jardim Aquarius," 3.100 /mês
 700.000",R$ 3.100 , 3.100 ,2 ,2 ,2 ,3 
